"Person","Position","Level","StartDate","EndDate"
"苗海南","山东省人民政府副主席","地方政府","1949","1954"
"盛丕华","上海市人民政府副市长","地方政府","1949","1954"
"盛丕华","华东行政委员会副主席","地方政府","1949","1954"
"冷遹","江苏省人民政府副主席","地方政府","1949","1954"
"包达三","浙江省人民政府副省长","地方政府","1949","1954"
"章乃器","政务院委员","中央各部委","1949","1954"
"孙起孟","政务院副秘书长","中央各部委","1949","1954"
"章乃器","编制审查委员会主任","中央各部委","1949","1954"
"孙起孟","编制审查委员会副主任","中央各部委","1949","1954"
"沙千里","贸易部副部长","中央各部委","1949","1954"
"陈维稷","纺织工业部副部长","中央各部委","1949","1954"
"黄炎培","轻工业部部长","中央各部委","1949","1954"
"杨卫玉","轻工业部副部长","中央各部委","1949","1954"
"王新元","轻工业部副部长","中央各部委","1949","1954"
"施复亮","劳动部副部长","中央各部委","1949","1954"
"南汉宸","人民银行行长","中央各部委","1949","1954"
"吴觉农","农业部副部长","中央各部委","1949","1954"
"孙起孟","人事部副部长","中央各部委","1949","1954"
"沙千里","商业部副部长","中央各部委","1949","1954"
"王磊","商业部副部长","中央各部委","1949","1954"
"章乃器","粮食部部长","中央各部委","1949","1954"
"章乃器","劳动就业委员会副主任","中央各部委","1949","1954"
"黄炎培","政务院副总理","国家级","1949","1954"
"盛丕华","上海市人民政府副市长","地方政府","1954","1959"
"苗海南","山东省人民政府副主席","地方政府","1954","1959"
"冷遹","江苏省人民政府副主席","地方政府","1954","1959"
"乐松生","北京市人民政府副市长","地方政府","1954","1959"
"冷遹","江苏省人民政府副省长","地方政府","1954","1959"
"毕鸣岐","天津市人民政府副市长","地方政府","1954","1959"
"荣毅仁","上海市人民政府副市长","地方政府","1954","1959"
"巩天民","辽宁省人民政府副省长","地方政府","1954","1959"
"苗海南","山东省人民政府副省长","地方政府","1954","1959"
"冷遹","江苏省人民政府副省长","地方政府","1954","1959"
"刘国钧","江苏省人民政府副省长","地方政府","1954","1959"
"陈经畲","湖北省人民政府副省长","地方政府","1954","1959"
"童少生","四川省人民政府副省长","地方政府","1954","1959"
"包达三","浙江省人民政府副省长","地方政府","1954","1959"
"章乃器","粮食部部长","中央各部委","1954","1959"
"沙千里","地方工业部部长","中央各部委","1954","1959"
"王磊","商业部副部长","中央各部委","1954","1959"
"陈维稷","纺织工业部副部长","中央各部委","1954","1959"
"杨卫玉","轻工业部副部长","中央各部委","1954","1959"
"王新元","轻工业部副部长","中央各部委","1954","1959"
"沙千里","地方工业部部长","中央各部委","1954","1959"
"罗叔章","劳动部副部长","中央各部委","1954","1959"
"许涤新","中央工商行政管理局局长","中央各部委","1954","1959"
"千家驹","中央工商行政管理局副局长","中央各部委","1954","1959"
"卢绪章","对外贸易部部长助理","中央各部委","1954","1959"
"黄长水","华侨事务委员会副主任","中央各部委","1954","1959"
"沙千里","粮食部部长","中央各部委","1954","1959"
"王磊","第一商业部副部长","中央各部委","1954","1959"
"卢绪章","对外贸易部副部长","中央各部委","1954","1959"
"李烛尘","轻工业部部长","中央各部委","1954","1959"
"乐松生","北京市人民政府副市长","地方政府","1959","1964"
"荣毅仁","上海市人民政府副市长","地方政府","1959","1964"
"盛丕华","上海市人民政府副市长","地方政府","1959","1964"
"巩天民","辽宁省人民政府副省长","地方政府","1959","1964"
"苗海南","山东省人民政府副省长","地方政府","1959","1964"
"冷遹","江苏省人民政府副省长","地方政府","1959","1964"
"刘国钧","江苏省人民政府副省长","地方政府","1959","1964"
"陈经畲","湖北省人民政府副省长","地方政府","1959","1964"
"郭棣活","广东省人民政府副省长","地方政府","1959","1964"
"童少生","四川省人民政府副省长","地方政府","1959","1964"
"胡厥文","上海市人民政府副市长","地方政府","1959","1964"
"王少岩","云南省人民政府副省长","地方政府","1959","1964"
"史怀璧","云南省人民政府副省长","地方政府","1959","1964"
"许涤新","中央工商行政管理局局长","中央各部委","1959","1964"
"沙千里","粮食部部长","中央各部委","1959","1964"
"李烛尘","轻工业部部长","中央各部委","1959","1964"
"千家驹","中央工商行政管理局副局长","中央各部委","1959","1964"
"王磊","商业部副部长","中央各部委","1959","1964"
"胡子婴","商业部副部长","中央各部委","1959","1964"
"卢绪章","对外贸易部副部长","中央各部委","1959","1964"
"杨扶青","水产部副部长","中央各部委","1959","1964"
"侯德榜","化学工业部副部长","中央各部委","1959","1964"
"陈维稷","纺织工业部副部长","中央各部委","1959","1964"
"荣毅仁","纺织工业部副部长","中央各部委","1959","1964"
"罗叔章","轻工业部副部长","中央各部委","1959","1964"
"王新元","轻工业部副部长","中央各部委","1959","1964"
"黄长水","华侨事务委员会副主任","中央各部委","1959","1964"
"黄玠然","中央工商行政管理局副局长","中央各部委","1959","1964"
"乐松生","北京市人民政府副市长","地方政府","1964","1975"
"胡厥文","上海市人民政府副市长","地方政府","1964","1975"
"荣毅仁","上海市人民政府副市长","地方政府","1964","1975"
"巩天民","辽宁省人民政府副省长","地方政府","1964","1975"
"苗海南","山东省人民政府副省长","地方政府","1964","1975"
"刘国钧","江苏省人民政府副省长","地方政府","1964","1975"
"陈经畲","湖北省人民政府副省长","地方政府","1964","1975"
"郭棣活","广东省人民政府副省长","地方政府","1964","1975"
"邓文钊","广东省人民政府副省长","地方政府","1964","1975"
"童少生","四川省人民政府副省长","地方政府","1964","1975"
"王少岩","云南省人民政府副省长","地方政府","1964","1975"
"史怀璧","云南省人民政府副省长","地方政府","1964","1975"
"许涤新","中央工商行政管理局局长","中央各部委","1964","1975"
"千家驹","中央工商行政管理局副局长","中央各部委","1964","1975"
"黄玠然","中央工商行政管理局副局长","中央各部委","1964","1975"
"杨扶青","水产部副部长","中央各部委","1964","1975"
"侯德榜","化学工业部副部长","中央各部委","1964","1975"
"陈维稷","纺织工业部副部长","中央各部委","1964","1975"
"荣毅仁","纺织工业部副部长","中央各部委","1964","1975"
"李烛尘","第一轻工业部部长","中央各部委","1964","1975"
"王新元","第一轻工业部副部长","中央各部委","1964","1975"
"沙千里","粮食部部长","中央各部委","1964","1975"
"王磊","商业部副部长","中央各部委","1964","1975"
"胡子婴","商业部副部长","中央各部委","1964","1975"
"卢绪章","对外贸易部副部长","中央各部委","1964","1975"
"黄长水","华侨事务委员会副主任","中央各部委","1964","1975"
"王光英","天津市人民政府副市长","地方政府","1978","1983"
"汤元炳","浙江省人民政府副省长","地方政府","1978","1983"
"华煜卿","湖北省人民政府副省长","地方政府","1978","1983"
"郭棣活","广东省人民政府副省长","地方政府","1978","1983"
"杨克成","云南省人民政府副省长","地方政府","1978","1983"
"黄长溪","福建省人民政府副省长","地方政府","1978","1983"
"孙孚凌","北京市人民政府副市长","地方政府","1983","1988"
"姚峻","天津市人民政府副市长","地方政府","1983","1988"
"黄长溪","福建省人民政府副省长","地方政府","1983","1988"
"路明","甘肃省人民政府副省长","地方政府","1983","1988"
"孙孚凌","北京市人民政府副市长","地方政府","1988","1993"
"路明","甘肃省人民政府副省长","地方政府","1988","1993"
"冯梯云","监察部副部长","中央各部委","1988","1993"
"刘珩","纺织工业部副部长","中央各部委","1988","1993"
"白大华","国家工商行政管理局副局长","中央各部委","1988","1993"
"刘鹤章","国家审计署副审计长","中央各部委","1988","1993"